category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Cellular Processes,Cell motility,hsa04820,Cytoskeleton in muscle cells,97/1750,162/5535,0.5987654320987654,1.8938095238095238,7.850543505941197,5.247157233936683e-14,1.8155164029420923e-11,1.8155164029420923e-11,7431/6383/131873/1730/633/6709/91010/287/71/2273/1286/1290/3690/1285/4628/84033/7414/6382/6641/477/85301/4627/25802/1605/23002/6385/825/3655/1729/2006/8736/1756/3679/79188/7057/1293/50509/1832/752/64423/22801/7171/4811/3688/1462/23500/10611/51778/6443/7791/5318/57731/81624/6444/9124/10398/7058/25777/1282/8515/5339/1277/72/2201/7059/171024/7094/1284/476/1289/3673/60/7169/3676/7170/4001/271/114793/832/255631/7168/1301/481/1281/3696/1287/1298/3672/2274/3908/1278/8516/22795/9672/1837/9260/83660,97
Cellular Processes,Cellular community - eukaryotes,hsa04510,Focal adhesion,96/1750,166/5535,0.5783132530120482,1.8291222030981067,7.3744824626219305,1.37438440944113e-12,2.377685028333155e-10,2.377685028333155e-10,56034/6655/858/131873/4233/5602/2013/3265/3371/5063/71/8503/1286/5296/3690/3915/1285/10627/5290/3912/5295/5156/7414/5879/5159/6093/5881/3914/3655/1729/5595/7408/5154/55742/3679/857/7057/1293/54776/22801/5293/2317/5908/3688/7791/7148/207/3909/5604/894/5894/10398/7058/3082/1282/8515/53358/1277/2012/7059/7094/1284/3673/60/896/4638/3611/7424/2316/3676/4660/5728/3725/87/5291/596/5499/8394/3696/7422/5500/1287/1298/3672/3480/2002/1398/3908/1278/8516/103910/4659/9475/3918/81/83660,96
Cellular Processes,Cell motility,hsa04810,Regulation of actin cytoskeleton,92/1750,172/5535,0.5348837209302325,1.6917607973421929,6.266455087152783,1.3151331563184542e-9,1.5167869069539505e-7,1.5167869069539505e-7,56034/6655/1730/2245/2934/26999/3265/5217/5063/71/8503/1072/5296/3690/10627/5290/1902/5295/10092/3984/4628/23365/5156/7414/4893/5879/5159/623/200576/4627/9138/6093/5881/2263/3655/1729/5595/5154/3679/10163/8976/221178/85464/10096/54776/10152/22801/5293/3688/6237/207/28964/730/81624/5604/5894/10398/8515/22800/2264/6387/8936/3673/60/2255/1129/4638/3676/4660/10093/87/10097/2246/729/5291/5499/10094/8394/3696/28984/5500/2768/3672/1398/8516/103910/10788/4659/624/9475/81/10787,92
Environmental Information Processing,Signaling molecules and interaction,hsa04518,Integrin signaling,68/1750,117/5535,0.5811965811965812,1.838241758241758,6.230865582741786,2.0860525885679647e-9,1.8044354891112894e-7,1.8044354891112894e-7,56034/131873/4233/3371/71/8503/1286/5296/3690/3915/1285/5290/3912/5295/5156/7414/5879/5159/5881/3914/3655/5154/55742/3679/3987/7057/1293/22801/5293/2317/3688/7148/207/3909/894/7058/3082/1282/8515/1277/55679/7059/7094/1284/3673/60/896/3611/7424/2316/3676/2475/87/7412/5291/3696/7422/1287/1298/3672/3480/3908/1278/8516/10979/3918/81/83660,68
Human Diseases,Cancer: overview,hsa05200,Pathways in cancer,180/1750,400/5535,0.45,1.4232857142857143,5.9758411288054365,4.001860074292916e-9,2.769287171410698e-7,2.769287171410698e-7,9446/6655/7187/5743/862/4233/5602/2949/3091/10235/3265/1613/8322/836/8454/8503/4088/1286/2737/5296/3570/2776/3915/1285/196883/5290/3912/1902/8325/182/6608/5295/3717/3569/23365/5156/2790/10018/5900/4893/1021/5879/5159/4792/1643/1026/623/3326/3066/23236/9138/6093/1910/5881/7474/4040/2947/23604/801/2263/3914/7296/11186/3655/5595/7048/5154/2946/114/6502/5888/6772/2783/2787/6777/4313/5293/5332/54331/1147/10928/183/815/3688/1030/3320/1487/59345/207/9915/3909/4616/5604/894/5894/83439/8323/3082/4854/8202/5925/4312/1282/5336/2264/6387/3716/9252/1029/8324/1856/28514/109/1284/890/3714/2034/2736/3673/6774/2255/7704/896/7424/3162/2099/7170/27113/2475/5468/7157/5728/3725/867/2308/3459/5567/4193/1728/2246/4609/8313/9618/5291/185/4851/596/1909/5292/7422/4292/1287/2768/1019/51684/7042/3480/2002/1398/3908/3481/7472/2271/57449/7855/624/5898/3592/107/2770/9475/2941/3918/54567/4436/6776/5337/5970/5899/861,180
Human Diseases,Cancer: overview,hsa05206,MicroRNAs in cancer,78/1750,143/5535,0.5454545454545454,1.7251948051948054,5.973837726480254,7.66564598030445e-9,4.420522515308899e-7,4.420522515308899e-7,7431/6935/6655/5743/4233/8651/3265/3667/3371/90427/836/8503/5296/3690/5290/5295/2146/5156/10018/4893/1021/5159/5598/1026/3066/6093/5328/7078/11186/5595/5154/6659/7057/5581/23414/2744/27250/5293/10253/994/7148/4082/4363/1945/5604/894/5894/4854/5336/10014/9252/1029/672/6774/599/3162/2475/7157/5728/1788/4193/4609/7168/5291/4851/596/4194/5292/7422/6624/5243/4170/7042/9839/1398/27086/8660/54541,78
Human Diseases,Endocrine and metabolic disease,hsa04933,AGE-RAGE signaling pathway in diabetic complications,53/1750,88/5535,0.6022727272727273,1.9049025974025977,5.817952123391022,2.385497959082737e-8,1.0811183475795373e-6,1.0811183475795373e-6,5602/3265/836/8503/4088/1286/5296/1285/5290/5295/3717/3569/4893/5879/23236/1729/5595/7048/5581/6772/2152/6777/4313/5293/5332/183/207/1282/5336/1277/5603/1284/6774/6347/7424/5600/3725/2308/7412/5291/185/596/1432/1281/5292/7422/1287/1019/7042/1278/51196/6776/5970,53
Organismal Systems,Digestive system,hsa04974,Protein digestion and absorption,36/1750,52/5535,0.6923076923076923,2.1896703296703293,5.8603673371052745,2.4996956013399705e-8,1.0811183475795373e-6,1.0811183475795373e-6,131873/6546/1286/1290/1285/120103/477/85301/6505/2006/1307/1293/50509/54407/6510/1294/10008/7373/206358/1282/1277/1284/476/1289/255631/1303/1301/481/1306/1281/1287/1298/1278/80781/1295/1803,36
Environmental Information Processing,Signal transduction,hsa04022,cGMP-PKG signaling pathway,63/1750,112/5535,0.5625,1.7791071428571428,5.6635932427353914,4.64114475854891e-8,1.6098999901342704e-6,1.6098999901342704e-6,4209/3778/6546/3667/3643/2776/134/196883/10105/4205/477/291/23236/5593/6093/1910/775/1385/801/2977/5595/7408/114/147/5581/5592/468/5332/8654/7417/207/6722/5604/5894/10398/64764/7225/109/476/488/4638/4208/490/3708/185/5499/481/1909/90993/3709/5500/2768/150/4881/4659/624/107/8660/2770/9475/9586/4776/3764,63
Human Diseases,Cancer: overview,hsa05205,Proteoglycans in cancer,84/1750,162/5535,0.5185185185185185,1.64,5.621273559928061,4.652890144896735e-8,1.6098999901342704e-6,1.6098999901342704e-6,2817/6655/6383/858/4233/4060/3091/3265/8322/836/287/71/8503/5296/3690/5290/8325/6608/5295/23365/4893/5879/6382/1026/9138/6093/7474/5328/7078/6385/5595/2549/117581/10855/857/7057/54776/27250/4313/5293/815/3688/6237/207/5604/5894/8323/3082/5336/1277/22800/5603/8324/3673/60/6774/2316/2099/5600/2475/4660/7157/867/5567/4193/3708/4609/5291/5499/1432/7422/3709/5500/7042/3480/2002/1278/3481/7472/7855/4659/5781/9475/51196,84
Organismal Systems,Immune system,hsa04611,Platelet activation,54/1750,93/5535,0.5806451612903226,1.8364976958525348,5.531368783533358,1.015354029497253e-7,3.1937499473277226e-6,3.193749947327723e-6,5321/2212/10235/71/8503/5296/3690/2776/10627/196883/5290/5295/23365/23236/6786/9138/5593/6093/2977/5595/7408/114/5592/5293/5332/5908/3688/207/5336/1277/5603/8605/7094/109/3673/60/4638/5742/5600/5567/3708/5291/5499/1432/1281/3709/5500/1278/103910/4659/107/2770/9475/83660,54
Organismal Systems,Circulatory system,hsa04270,Vascular smooth muscle contraction,50/1750,88/5535,0.5681818181818182,1.797077922077922,5.1247075680545935,7.572212261901987e-7,2.0525877147225324e-5,2.0525877147225324e-5,5321/59/3778/2776/196883/5320/4628/23365/4627/23236/9138/6093/775/801/800/2977/5595/114/147/5581/5592/54776/5583/133/5332/183/4637/5604/5894/10398/79924/8605/72/109/4638/4660/5567/3708/185/5499/1909/3709/5500/2768/140465/4881/4659/107/9475/94274,50
Organismal Systems,Endocrine system,hsa04926,Relaxin signaling pathway,56/1750,102/5535,0.5490196078431373,1.736470588235294,5.104360047001107,7.712034766298532e-7,2.0525877147225324e-5,2.0525877147225324e-5,59/6655/5602/3265/8503/1286/5296/1285/196883/5290/5295/2790/4893/4792/23236/1910/1385/5595/7048/114/2783/2787/408/4313/5293/468/5332/54331/59345/207/5604/5894/4312/1282/53358/1277/5603/64764/109/1284/7424/5600/3725/5567/59350/5291/1432/1281/7422/90993/1287/1278/107/2770/9586/5970,56
Human Diseases,Infectious disease: viral,hsa05165,Human papillomavirus infection,117/1750,256/5535,0.45703125,1.4455245535714283,4.9627392258551,9.596178908254726e-7,2.3312320753182793e-5,2.3312320753182793e-5,527/6655/7187/5743/10134/131873/6009/3105/3265/3371/84552/8322/836/8503/1286/5296/3690/3915/8992/1285/5290/3912/8325/182/5295/3516/4893/1021/5159/1026/3066/1385/7474/3914/3655/5595/7098/3679/5523/7057/1293/6772/9114/22801/5293/1147/523/3688/3996/7148/207/3909/5604/894/5894/10474/83439/7058/1108/8323/4854/5516/5925/3106/1282/8515/10312/1277/3716/7059/64764/8324/1856/1284/890/148022/3673/896/3676/533/2475/5315/5934/7157/3955/5728/2308/5567/4799/4193/8313/5291/4599/4851/9223/3696/7422/90993/1287/1298/3133/1019/23545/3672/3659/3908/1278/8516/7472/7855/535/3918/1741/9586/5663/5970/529,117
Environmental Information Processing,Signal transduction,hsa04072,Phospholipase D signaling pathway,57/1750,105/5535,0.5428571428571428,1.7169795918367348,5.043211579271542,1.0106497436350922e-6,2.3312320753182793e-5,2.3312320753182793e-5,5321/56034/6655/6009/1759/3265/3643/8503/5296/196883/5290/1902/5295/5156/5900/4893/5159/23236/2185/9265/5595/2549/5154/114/9846/5293/5332/183/26052/6237/207/9162/5604/5894/5336/53358/22800/8605/382/109/11069/5737/10411/2475/5291/185/8394/2768/10555/8877/5898/5781/107/375/55326/5337/5899,57
Environmental Information Processing,Signal transduction,hsa04015,Rap1 signaling pathway,77/1750,155/5535,0.4967741935483871,1.571225806451613,4.904426050215499,1.581824114723477e-6,3.420694648089519e-5,3.420694648089519e-5,56034/26037/4233/10235/3265/3643/9771/5217/84552/71/8503/284/64411/5296/3690/2776/1435/196883/5290/1902/5295/5156/5900/4893/5879/5159/4803/23236/5881/6494/801/2263/5595/7408/5154/114/7057/5587/5293/5332/5908/3688/6237/9855/5606/207/1945/5604/5894/3082/5603/2264/7094/109/11069/260425/60/2255/10411/7424/5600/2246/5291/51735/9223/1432/7422/51466/3480/1398/57568/5898/107/2770/51196/83660/5899,77
Environmental Information Processing,Signaling molecules and interaction,hsa04081,Hormone signaling,56/1750,105/5535,0.5333333333333333,1.686857142857143,4.831331233973671,2.6525674211905313e-6,5.3987548690113164e-5,5.398754869011317e-5,1734/3667/886/3643/8503/5296/3690/2776/196883/5290/5295/3717/2790/23236/5593/4093/114/147/2783/5592/9843/4086/2787/6777/5293/5332/54331/183/4883/59345/5021/7068/6567/109/11069/6774/10411/2099/51094/2796/5567/5291/185/658/3952/2768/3480/2852/150/3481/4881/107/2847/8660/2770/6776,56
Cellular Processes,Cell growth and death,hsa04218,Cellular senescence,68/1750,137/5535,0.49635036496350365,1.5698852971845672,4.592370894245679,6.692904339407044e-6,1.2865249452415761e-4,1.2865249452415761e-4,6009/10758/3105/3265/8503/4088/5296/678/5290/5295/3569/4893/1021/1026/291/801/8878/5595/7048/4683/10114/5293/28996/59341/1030/677/7417/6237/5606/207/4616/5604/894/5894/5810/5925/3106/22800/5603/1874/1029/890/896/5600/823/2475/5934/7157/9261/5728/2308/4193/3708/4609/5291/2309/5499/1432/2305/3709/5500/3133/204851/1019/7042/4776/5970/91750,68
Environmental Information Processing,Signal transduction,hsa04151,PI3K-Akt signaling pathway,112/1750,253/5535,0.4426877470355731,1.4001581027667984,4.429945030792457,1.0531422828188293e-5,1.917827525554289e-4,1.9178275255542893e-4,56034/6655/131873/6009/4233/3265/3667/3643/3371/8503/284/1286/5296/3690/3570/3915/1285/1435/5290/3912/1902/5295/3717/3569/5156/2790/10018/6446/4893/1021/5879/5159/1026/4803/3326/1385/2263/3914/3655/5595/5154/3679/5523/7057/1293/2783/22801/2787/5293/468/54331/1147/3688/3320/7148/59345/207/3909/1945/5604/894/5894/7058/3082/5516/1282/8515/1277/2264/3716/7059/64764/672/1284/3673/2255/3164/5562/896/1129/7424/3676/2668/2475/5934/7157/5728/4193/2246/4609/5291/596/2309/9223/3696/7422/90993/1287/1298/4170/1019/3672/3480/3908/1278/8516/3481/9180/3918/9586/54541/5970,112
Organismal Systems,Nervous system,hsa04725,Cholinergic synapse,40/1750,71/5535,0.5633802816901409,1.7818913480885312,4.508435869210727,1.2815845022179243e-5,2.1904982577691174e-4,2.1904982577691174e-4,3265/8503/5296/2776/196883/5290/5295/3717/2790/4893/23236/775/1385/5595/114/3768/2783/2787/5293/468/814/5332/54331/815/59345/207/5604/56479/64764/109/1129/5567/3708/5291/596/90993/3709/107/2770/9586,40
Organismal Systems,Endocrine system,hsa04923,Regulation of lipolysis in adipocytes,26/1750,40/5535,0.65,2.055857142857143,4.556768541267004,1.3681578828268965e-5,2.1904982577691174e-4,2.1904982577691174e-4,5743/3667/3643/8503/5296/134/196883/5290/51099/5295/5593/11343/114/5592/63924/5293/207/57104/109/5742/5567/5291/4881/107/8660/2770,26
Organismal Systems,Endocrine system,hsa04921,Oxytocin signaling pathway,55/1750,107/5535,0.514018691588785,1.6257676902536717,4.444171039893007,1.3928023604312308e-5,2.1904982577691174e-4,2.1904982577691174e-4,5321/55799/5743/3265/29904/71/2776/196883/4893/783/5598/1026/23236/6093/775/801/2977/57118/5595/114/3768/54776/814/5332/815/4637/10645/5604/5894/10398/5021/8605/109/51422/60/5562/4638/4208/785/4660/3725/5567/3708/5499/3709/5500/2002/140465/4881/4659/107/2770/1827/9475/4776,55
Environmental Information Processing,Signaling molecules and interaction,hsa04512,ECM-receptor interaction,36/1750,63/5535,0.5714285714285714,1.80734693877551,4.381906365160749,2.2703204603071908e-5,3.415351648983861e-4,3.415351648983861e-4,131873/3371/1286/3690/3915/3161/1285/3912/6382/1605/6385/3914/3655/3679/7057/1293/22801/3688/7148/3909/7058/1282/8515/1277/7059/1284/3673/3676/3696/1287/1298/3672/3908/1278/8516/3918,36
Organismal Systems,Immune system,hsa04625,C-type lectin receptor signaling pathway,43/1750,80/5535,0.5375,1.7000357142857143,4.288184603656688,2.973901101728034e-5,4.2873740883245823e-4,4.287374088324583e-4,5743/868/5602/3265/8503/5296/5290/5295/3569/23365/1960/4893/4792/801/5595/8844/6772/9020/5293/1147/6237/207/5894/5336/22800/5603/10892/834/5600/9261/3725/4193/3708/5291/602/1432/3709/1959/3659/5781/3592/4776/5970,43
Organismal Systems,Immune system,hsa04666,Fc gamma R-mediated phagosome formation,40/1750,73/5535,0.547945205479452,1.7330724070450099,4.28684829623275,3.110188597040939e-5,4.304501018304659e-4,4.304501018304659e-4,5321/274/2212/2934/8503/1072/5296/65108/5290/5295/10092/3984/5879/50807/273/5595/7408/10163/5581/10096/9846/5293/207/4082/5604/5894/5336/8605/382/8936/10093/10097/3635/5291/10094/8394/10810/1398/8877/5337,40
Human Diseases,Infectious disease: parasitic,hsa05146,Amoebiasis,36/1750,65/5535,0.5538461538461539,1.7517362637362637,4.145092018718997,5.6828268057550995e-5,7.562531056889479e-4,7.562531056889479e-4,836/5272/8503/1286/5296/2776/3915/1285/5290/3912/5295/3569/7414/338382/23236/3914/5293/5332/3909/3315/1282/1277/1284/5567/87/5291/1281/1287/7042/3908/1278/3592/107/3918/81/5970,36
Environmental Information Processing,Signal transduction,hsa04020,Calcium signaling pathway,69/1750,147/5535,0.46938775510204084,1.484606413994169,4.048924621398299,5.9942419451828356e-5,7.681510048271337e-4,7.681510048271338e-4,56034/93129/4233/3269/6546/444/886/2776/196883/3707/5136/5156/3356/10105/5159/4803/623/291/23236/6786/1910/775/2185/801/2263/57118/8913/5154/114/147/814/5256/5332/815/7417/80228/3082/5336/5021/2264/109/219931/5255/488/2255/5737/1129/4638/7424/2668/490/5567/3708/2246/53373/80271/185/1909/7422/3709/9127/5027/57620/8877/7942/624/107/51196/4776,69
Human Diseases,Infectious disease: viral,hsa05163,Human cytomegalovirus infection,78/1750,171/5535,0.45614035087719296,1.4427067669172933,3.9983010482106964,6.92271786755124e-5,8.554501364902603e-4,8.554501364902604e-4,6655/5743/6009/3105/3265/836/8503/11214/5296/3690/3570/2776/196883/5290/5295/3569/23365/5156/2790/4893/1021/5879/4792/1026/23236/9138/6093/5881/1385/2185/801/5595/114/2783/2787/5293/468/5332/54331/1147/567/59345/207/5604/5894/5925/3106/5603/6387/3716/64764/1029/109/6774/6347/5600/2475/7157/5567/4193/3708/4609/5291/1432/7422/90993/3709/3133/2768/1019/2002/1398/107/2770/9475/9586/4776/5970,78
Organismal Systems,Excretory system,hsa04960,Aldosterone-regulated sodium reabsorption,16/1750,22/5535,0.7272727272727273,2.3002597402597407,4.154828669960307,8.737319871995468e-5,0.0010424526467967008,0.0010424526467967008,3667/3643/4306/8503/5296/5290/5295/6446/23327/477/5595/5293/3291/476/5291/481,16
Environmental Information Processing,Signal transduction,hsa04024,cAMP signaling pathway,62/1750,131/5535,0.4732824427480916,1.4969247546346784,3.913580482038442,1.0432195465798756e-4,0.0012031798770554564,0.0012031798770554567,5465/5602/8503/2737/64411/5296/10257/134/196883/5290/5295/5879/4792/477/6093/5881/775/1385/801/5595/114/5293/814/5908/815/6237/6662/207/5604/5894/10398/5021/22800/5143/64764/109/476/11069/2890/488/1129/10411/3725/490/5567/84152/5291/5499/481/1909/90993/5500/2892/4881/4659/107/2770/9475/51196/9586/5337/5970,62
Human Diseases,Cardiovascular disease,hsa05414,Dilated cardiomyopathy,37/1750,69/5535,0.5362318840579711,1.6960248447204969,3.955670728698735,1.1305843724960797e-4,0.0012618780415601407,0.0012618780415601404,55799/6546/71/3690/196883/783/6641/775/1605/3655/1756/114/3679/22801/7171/183/3688/6443/6444/8515/109/488/3673/60/7169/3676/7170/785/5567/7168/3696/3672/7042/3908/8516/107/1837,37
Human Diseases,Cancer: specific types,hsa05220,Chronic myeloid leukemia,39/1750,74/5535,0.527027027027027,1.6669111969111972,3.9269325372022594,1.22260730554061e-4,0.0013219441491157846,0.0013219441491157846,6655/3265/8503/4088/5296/5290/5295/4893/1021/4792/1643/1026/3066/5595/7048/9846/6777/5293/1147/1487/207/4616/5604/5894/5925/53358/1029/7157/867/4193/4609/5291/1019/7042/1398/5781/6776/5970/861,39
